timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,response_time(ms),latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
28-06-2023_15:45:03:969170,99.86.159.55,53.578,10.77692792750895,"['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '154.54.61.82', '149.29.29.82', '52.119.155.235', '52.119.152.201', '*', '*', '*', '*', '*', '99.86.159.55']","['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '154.54.61.82', '149.29.29.82', '52.119.155.235', '52.119.152.201', '*', '*', '*', '*', '*', '99.86.159.55']",19,video/mp4,445359611,keep-alive,"Sun, 04 Jun 2023 20:06:36 GMT","Wed, 31 May 2023 20:11:26 GMT","""b86f895dd839ba67b168e1a2366ea900-85""",INTELLIGENT_TIERING,AES256,493de383996c6fac0511eea63764784bd6817c86,2d616e1a83117e098046aa5636e96e57,fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 41ef3b5e61707f8600cd12eaad85b048.cloudfront.net (CloudFront),MXP64-C2,umqVdVewrWZcEPo6ZfkwQs92lB6SmTjjLRNd-F9UmqGk5xKy4vqhug==,2050709,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$ZaH5DGwwROWSsKX-YHb_R58odrM~/1772/4830/be3e/45cb-a4ef-a89d0062236d/3da3a219-4dea-4de3-be48-68a993480687_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '445359611', 'Connection': 'keep-alive', 'Date': 'Sun, 04 Jun 2023 20:06:36 GMT', 'Last-Modified': 'Wed, 31 May 2023 20:11:26 GMT', 'ETag': '""b86f895dd839ba67b168e1a2366ea900-85""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '493de383996c6fac0511eea63764784bd6817c86', 'x-amz-meta-dv-checksum-md5': '2d616e1a83117e098046aa5636e96e57', 'x-amz-meta-dv-checksum-sha-256': 'fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 41ef3b5e61707f8600cd12eaad85b048.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MXP64-C2', 'X-Amz-Cf-Id': 'umqVdVewrWZcEPo6ZfkwQs92lB6SmTjjLRNd-F9UmqGk5xKy4vqhug==', 'Age': '2050709'}"
28-06-2023_15:45:37:059974,99.86.159.123,55.938,10.303071001544595,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '154.54.61.90', '149.29.29.82', '52.119.155.229', '52.119.152.149', '*', '*', '*', '*', '*', '99.86.159.123']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '154.54.61.90', '149.29.29.82', '52.119.155.229', '52.119.152.149', '*', '*', '*', '*', '*', '99.86.159.123']",19,video/mp4,445359611,keep-alive,"Sun, 04 Jun 2023 20:06:36 GMT","Wed, 31 May 2023 20:11:26 GMT","""b86f895dd839ba67b168e1a2366ea900-85""",INTELLIGENT_TIERING,AES256,493de383996c6fac0511eea63764784bd6817c86,2d616e1a83117e098046aa5636e96e57,fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 13234883000891123bda3fd8d846da9c.cloudfront.net (CloudFront),MXP64-C2,2qq3og-jPJ5_m6esRJtEEPp8aVez2u4gf-t5EAiLTEM-SkwRWt1riQ==,2050742,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$ZaH5DGwwROWSsKX-YHb_R58odrM~/1772/4830/be3e/45cb-a4ef-a89d0062236d/3da3a219-4dea-4de3-be48-68a993480687_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '445359611', 'Connection': 'keep-alive', 'Date': 'Sun, 04 Jun 2023 20:06:36 GMT', 'Last-Modified': 'Wed, 31 May 2023 20:11:26 GMT', 'ETag': '""b86f895dd839ba67b168e1a2366ea900-85""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '493de383996c6fac0511eea63764784bd6817c86', 'x-amz-meta-dv-checksum-md5': '2d616e1a83117e098046aa5636e96e57', 'x-amz-meta-dv-checksum-sha-256': 'fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 13234883000891123bda3fd8d846da9c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MXP64-C2', 'X-Amz-Cf-Id': '2qq3og-jPJ5_m6esRJtEEPp8aVez2u4gf-t5EAiLTEM-SkwRWt1riQ==', 'Age': '2050742'}"
28-06-2023_15:46:07:744715,99.86.159.35,51.02,10.067897150292993,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '154.54.61.90', '149.29.29.74', '52.119.155.255', '52.119.152.205', '*', '*', '*', '*', '*', '99.86.159.35']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '154.54.61.90', '149.29.29.74', '52.119.155.255', '52.119.152.205', '*', '*', '*', '*', '*', '99.86.159.35']",19,video/mp4,445359611,keep-alive,"Sun, 04 Jun 2023 20:06:36 GMT","Wed, 31 May 2023 20:11:26 GMT","""b86f895dd839ba67b168e1a2366ea900-85""",INTELLIGENT_TIERING,AES256,493de383996c6fac0511eea63764784bd6817c86,2d616e1a83117e098046aa5636e96e57,fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 4bf67fa3f3c5285ab6c4bc6a5127ce32.cloudfront.net (CloudFront),MXP64-C2,NlGsrHfNETfkTGYmdtadnJY6D9bJtgT75db_7JwctaLrDK_7zR22Ww==,2050772,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$ZaH5DGwwROWSsKX-YHb_R58odrM~/1772/4830/be3e/45cb-a4ef-a89d0062236d/3da3a219-4dea-4de3-be48-68a993480687_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '445359611', 'Connection': 'keep-alive', 'Date': 'Sun, 04 Jun 2023 20:06:36 GMT', 'Last-Modified': 'Wed, 31 May 2023 20:11:26 GMT', 'ETag': '""b86f895dd839ba67b168e1a2366ea900-85""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '493de383996c6fac0511eea63764784bd6817c86', 'x-amz-meta-dv-checksum-md5': '2d616e1a83117e098046aa5636e96e57', 'x-amz-meta-dv-checksum-sha-256': 'fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 4bf67fa3f3c5285ab6c4bc6a5127ce32.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MXP64-C2', 'X-Amz-Cf-Id': 'NlGsrHfNETfkTGYmdtadnJY6D9bJtgT75db_7JwctaLrDK_7zR22Ww==', 'Age': '2050772'}"
28-06-2023_15:46:31:252394,99.86.159.123,44.565,10.770248947665095,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '154.54.61.90', '149.29.29.82', '52.119.155.229', '52.119.152.149', '*', '*', '*', '*', '*', '99.86.159.123']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '154.54.61.90', '149.29.29.82', '52.119.155.229', '52.119.152.149', '*', '*', '*', '*', '*', '99.86.159.123']",19,video/mp4,445359611,keep-alive,"Sun, 04 Jun 2023 20:06:36 GMT","Wed, 31 May 2023 20:11:26 GMT","""b86f895dd839ba67b168e1a2366ea900-85""",INTELLIGENT_TIERING,AES256,493de383996c6fac0511eea63764784bd6817c86,2d616e1a83117e098046aa5636e96e57,fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 4bf67fa3f3c5285ab6c4bc6a5127ce32.cloudfront.net (CloudFront),MXP64-C2,V31pcIG9a7FsDjF2CwUzJjD5a1yrs1OsgzAS2lBZMA_NWlySwaVZOA==,2050796,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$ZaH5DGwwROWSsKX-YHb_R58odrM~/1772/4830/be3e/45cb-a4ef-a89d0062236d/3da3a219-4dea-4de3-be48-68a993480687_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '445359611', 'Connection': 'keep-alive', 'Date': 'Sun, 04 Jun 2023 20:06:36 GMT', 'Last-Modified': 'Wed, 31 May 2023 20:11:26 GMT', 'ETag': '""b86f895dd839ba67b168e1a2366ea900-85""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '493de383996c6fac0511eea63764784bd6817c86', 'x-amz-meta-dv-checksum-md5': '2d616e1a83117e098046aa5636e96e57', 'x-amz-meta-dv-checksum-sha-256': 'fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 4bf67fa3f3c5285ab6c4bc6a5127ce32.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MXP64-C2', 'X-Amz-Cf-Id': 'V31pcIG9a7FsDjF2CwUzJjD5a1yrs1OsgzAS2lBZMA_NWlySwaVZOA==', 'Age': '2050796'}"
28-06-2023_15:46:53:719410,99.86.159.55,43.671,10.0028479937464,"['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '154.54.61.82', '149.29.29.82', '52.119.155.235', '52.119.152.201', '*', '*', '*', '*', '*', '99.86.159.55']","['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '154.54.61.82', '149.29.29.82', '52.119.155.235', '52.119.152.201', '*', '*', '*', '*', '*', '99.86.159.55']",19,video/mp4,445359611,keep-alive,"Sun, 04 Jun 2023 20:06:36 GMT","Wed, 31 May 2023 20:11:26 GMT","""b86f895dd839ba67b168e1a2366ea900-85""",INTELLIGENT_TIERING,AES256,493de383996c6fac0511eea63764784bd6817c86,2d616e1a83117e098046aa5636e96e57,fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 0c978a13e60975108c0dd1f18364108e.cloudfront.net (CloudFront),MXP64-C2,4yrDLBqAWMfY9f0CGMob0CFqRmJkp3_d0Lg3VRfPLzCCafeAEYu3TA==,2050818,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$ZaH5DGwwROWSsKX-YHb_R58odrM~/1772/4830/be3e/45cb-a4ef-a89d0062236d/3da3a219-4dea-4de3-be48-68a993480687_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '445359611', 'Connection': 'keep-alive', 'Date': 'Sun, 04 Jun 2023 20:06:36 GMT', 'Last-Modified': 'Wed, 31 May 2023 20:11:26 GMT', 'ETag': '""b86f895dd839ba67b168e1a2366ea900-85""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '493de383996c6fac0511eea63764784bd6817c86', 'x-amz-meta-dv-checksum-md5': '2d616e1a83117e098046aa5636e96e57', 'x-amz-meta-dv-checksum-sha-256': 'fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 0c978a13e60975108c0dd1f18364108e.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MXP64-C2', 'X-Amz-Cf-Id': '4yrDLBqAWMfY9f0CGMob0CFqRmJkp3_d0Lg3VRfPLzCCafeAEYu3TA==', 'Age': '2050818'}"
28-06-2023_15:47:16:154052,99.86.159.55,44.818999999999996,10.665383888408542,"['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '154.54.61.82', '149.29.29.82', '52.119.155.235', '52.119.152.201', '*', '*', '*', '*', '*', '99.86.159.55']","['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '154.54.61.82', '149.29.29.82', '52.119.155.235', '52.119.152.201', '*', '*', '*', '*', '*', '99.86.159.55']",19,video/mp4,445359611,keep-alive,"Sun, 04 Jun 2023 20:06:36 GMT","Wed, 31 May 2023 20:11:26 GMT","""b86f895dd839ba67b168e1a2366ea900-85""",INTELLIGENT_TIERING,AES256,493de383996c6fac0511eea63764784bd6817c86,2d616e1a83117e098046aa5636e96e57,fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 0eb16b4893257d69c3dccf274633b342.cloudfront.net (CloudFront),MXP64-C2,ZxD2W2VxQYo6SLo8t6Ri7VoRR79SyB7ms6wjFPVDccf9_AYsHBtSYA==,2050841,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$ZaH5DGwwROWSsKX-YHb_R58odrM~/1772/4830/be3e/45cb-a4ef-a89d0062236d/3da3a219-4dea-4de3-be48-68a993480687_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '445359611', 'Connection': 'keep-alive', 'Date': 'Sun, 04 Jun 2023 20:06:36 GMT', 'Last-Modified': 'Wed, 31 May 2023 20:11:26 GMT', 'ETag': '""b86f895dd839ba67b168e1a2366ea900-85""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '493de383996c6fac0511eea63764784bd6817c86', 'x-amz-meta-dv-checksum-md5': '2d616e1a83117e098046aa5636e96e57', 'x-amz-meta-dv-checksum-sha-256': 'fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 0eb16b4893257d69c3dccf274633b342.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MXP64-C2', 'X-Amz-Cf-Id': 'ZxD2W2VxQYo6SLo8t6Ri7VoRR79SyB7ms6wjFPVDccf9_AYsHBtSYA==', 'Age': '2050841'}"
28-06-2023_15:47:38:508605,99.86.159.35,56.404,10.670216986909509,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '154.54.61.90', '149.29.29.74', '52.119.155.255', '52.119.152.205', '*', '*', '*', '*', '*', '99.86.159.35']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '154.54.61.90', '149.29.29.74', '52.119.155.255', '52.119.152.205', '*', '*', '*', '*', '*', '99.86.159.35']",19,video/mp4,445359611,keep-alive,"Sun, 04 Jun 2023 20:06:36 GMT","Wed, 31 May 2023 20:11:26 GMT","""b86f895dd839ba67b168e1a2366ea900-85""",INTELLIGENT_TIERING,AES256,493de383996c6fac0511eea63764784bd6817c86,2d616e1a83117e098046aa5636e96e57,fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 b9ff2ec964f1eea80fc668bb9d85ec54.cloudfront.net (CloudFront),MXP64-C2,o3QFwskJZwbY6FJwR5JG8SKbn93JAlJY_TtEpmYyV4Riz_lSpD7hCA==,2050863,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$ZaH5DGwwROWSsKX-YHb_R58odrM~/1772/4830/be3e/45cb-a4ef-a89d0062236d/3da3a219-4dea-4de3-be48-68a993480687_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '445359611', 'Connection': 'keep-alive', 'Date': 'Sun, 04 Jun 2023 20:06:36 GMT', 'Last-Modified': 'Wed, 31 May 2023 20:11:26 GMT', 'ETag': '""b86f895dd839ba67b168e1a2366ea900-85""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '493de383996c6fac0511eea63764784bd6817c86', 'x-amz-meta-dv-checksum-md5': '2d616e1a83117e098046aa5636e96e57', 'x-amz-meta-dv-checksum-sha-256': 'fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 b9ff2ec964f1eea80fc668bb9d85ec54.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MXP64-C2', 'X-Amz-Cf-Id': 'o3QFwskJZwbY6FJwR5JG8SKbn93JAlJY_TtEpmYyV4Riz_lSpD7hCA==', 'Age': '2050863'}"
28-06-2023_15:48:02:056350,99.86.159.123,48.82,9.901648852974176,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '154.54.61.90', '149.29.29.82', '52.119.155.229', '52.119.152.149', '*', '*', '*', '*', '*', '99.86.159.123']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '154.54.61.90', '149.29.29.82', '52.119.155.229', '52.119.152.149', '*', '*', '*', '*', '*', '99.86.159.123']",19,video/mp4,445359611,keep-alive,"Sun, 04 Jun 2023 20:06:36 GMT","Wed, 31 May 2023 20:11:26 GMT","""b86f895dd839ba67b168e1a2366ea900-85""",INTELLIGENT_TIERING,AES256,493de383996c6fac0511eea63764784bd6817c86,2d616e1a83117e098046aa5636e96e57,fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 ea6b6651a564f3c1a19b54389d1f51e8.cloudfront.net (CloudFront),MXP64-C2,bCQ-8fFFDbxbgaDNYoFwCtBSZN0h3_JzCl0u0pXtDgoTw7nOUFJsVg==,2050887,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$ZaH5DGwwROWSsKX-YHb_R58odrM~/1772/4830/be3e/45cb-a4ef-a89d0062236d/3da3a219-4dea-4de3-be48-68a993480687_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '445359611', 'Connection': 'keep-alive', 'Date': 'Sun, 04 Jun 2023 20:06:36 GMT', 'Last-Modified': 'Wed, 31 May 2023 20:11:26 GMT', 'ETag': '""b86f895dd839ba67b168e1a2366ea900-85""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '493de383996c6fac0511eea63764784bd6817c86', 'x-amz-meta-dv-checksum-md5': '2d616e1a83117e098046aa5636e96e57', 'x-amz-meta-dv-checksum-sha-256': 'fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 ea6b6651a564f3c1a19b54389d1f51e8.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MXP64-C2', 'X-Amz-Cf-Id': 'bCQ-8fFFDbxbgaDNYoFwCtBSZN0h3_JzCl0u0pXtDgoTw7nOUFJsVg==', 'Age': '2050887'}"
28-06-2023_15:48:24:493492,99.86.159.55,45.998999999999995,10.265619028359652,"['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '154.54.61.82', '149.29.29.82', '52.119.155.235', '52.119.152.201', '*', '*', '*', '*', '*', '99.86.159.55']","['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '154.54.61.82', '149.29.29.82', '52.119.155.235', '52.119.152.201', '*', '*', '*', '*', '*', '99.86.159.55']",19,video/mp4,445359611,keep-alive,"Sun, 04 Jun 2023 20:06:36 GMT","Wed, 31 May 2023 20:11:26 GMT","""b86f895dd839ba67b168e1a2366ea900-85""",INTELLIGENT_TIERING,AES256,493de383996c6fac0511eea63764784bd6817c86,2d616e1a83117e098046aa5636e96e57,fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 82ded7662ff2806d716068ef52891c6a.cloudfront.net (CloudFront),MXP64-C2,uH5qNnBbcubdGTylBzgRlu3CpsY005IznDPFbjM1qfyf7d7pw-BvxA==,2050909,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$ZaH5DGwwROWSsKX-YHb_R58odrM~/1772/4830/be3e/45cb-a4ef-a89d0062236d/3da3a219-4dea-4de3-be48-68a993480687_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '445359611', 'Connection': 'keep-alive', 'Date': 'Sun, 04 Jun 2023 20:06:36 GMT', 'Last-Modified': 'Wed, 31 May 2023 20:11:26 GMT', 'ETag': '""b86f895dd839ba67b168e1a2366ea900-85""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '493de383996c6fac0511eea63764784bd6817c86', 'x-amz-meta-dv-checksum-md5': '2d616e1a83117e098046aa5636e96e57', 'x-amz-meta-dv-checksum-sha-256': 'fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 82ded7662ff2806d716068ef52891c6a.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MXP64-C2', 'X-Amz-Cf-Id': 'uH5qNnBbcubdGTylBzgRlu3CpsY005IznDPFbjM1qfyf7d7pw-BvxA==', 'Age': '2050909'}"
28-06-2023_15:48:46:884228,99.86.159.123,55.660000000000004,10.731648886576295,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '154.54.61.90', '149.29.29.82', '52.119.155.229', '52.119.152.149', '*', '*', '*', '*', '*', '99.86.159.123']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '154.54.61.90', '149.29.29.82', '52.119.155.229', '52.119.152.149', '*', '*', '*', '*', '*', '99.86.159.123']",19,video/mp4,445359611,keep-alive,"Sun, 04 Jun 2023 20:06:36 GMT","Wed, 31 May 2023 20:11:26 GMT","""b86f895dd839ba67b168e1a2366ea900-85""",INTELLIGENT_TIERING,AES256,493de383996c6fac0511eea63764784bd6817c86,2d616e1a83117e098046aa5636e96e57,fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 3e8c7159e6734f06c78a06c36a369370.cloudfront.net (CloudFront),MXP64-C2,kZE6IeWh16seAgQzgf58yzAlewG3DAGsV1djSUsxnxYoLLaSFXispQ==,2050931,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$ZaH5DGwwROWSsKX-YHb_R58odrM~/1772/4830/be3e/45cb-a4ef-a89d0062236d/3da3a219-4dea-4de3-be48-68a993480687_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '445359611', 'Connection': 'keep-alive', 'Date': 'Sun, 04 Jun 2023 20:06:36 GMT', 'Last-Modified': 'Wed, 31 May 2023 20:11:26 GMT', 'ETag': '""b86f895dd839ba67b168e1a2366ea900-85""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '493de383996c6fac0511eea63764784bd6817c86', 'x-amz-meta-dv-checksum-md5': '2d616e1a83117e098046aa5636e96e57', 'x-amz-meta-dv-checksum-sha-256': 'fba706508d89d0dbc7deac0806ac923aed6f2e019759e73d6d9552f45ac440ca', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 3e8c7159e6734f06c78a06c36a369370.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'MXP64-C2', 'X-Amz-Cf-Id': 'kZE6IeWh16seAgQzgf58yzAlewG3DAGsV1djSUsxnxYoLLaSFXispQ==', 'Age': '2050931'}"
