timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
24-06-2023_14:22:37:760192,18.165.183.81,5.420150002464652,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.229', '52.93.42.127', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.81']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.229', '52.93.42.127', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.81']",17,video/mp4,522686536,keep-alive,"Sun, 14 May 2023 20:29:37 GMT","Tue, 28 Feb 2023 10:40:02 GMT","""585c7259c07e8e8600c1a5596e604389-100""",INTELLIGENT_TIERING,AES256,628403752e053e46bc0a3eb8536c5bc39d8c0f5c,6b81c6419cc0ccc127df2fa87e85bbb2,1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 841da31399fe7f7e7065c840a22fae0a.cloudfront.net (CloudFront),ZRH55-P1,7k6WXDPH3MawviHXgWGHX9LQQwVhjrmekSuIdekjOzLYH9Po91NDaQ==,3513181,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$7WLfuGFXN0BWjILMfnggBpGoa2o~/b305/896d/8181/49f1-b807-0ebdf65646b6/54cb322a-71f8-48bd-9262-ff5606f00645_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '522686536', 'Connection': 'keep-alive', 'Date': 'Sun, 14 May 2023 20:29:37 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 10:40:02 GMT', 'ETag': '""585c7259c07e8e8600c1a5596e604389-100""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '628403752e053e46bc0a3eb8536c5bc39d8c0f5c', 'x-amz-meta-dv-checksum-md5': '6b81c6419cc0ccc127df2fa87e85bbb2', 'x-amz-meta-dv-checksum-sha-256': '1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 841da31399fe7f7e7065c840a22fae0a.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': '7k6WXDPH3MawviHXgWGHX9LQQwVhjrmekSuIdekjOzLYH9Po91NDaQ==', 'Age': '3513181'}"
24-06-2023_14:24:40:522133,18.165.183.124,4.593816003762186,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.79', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.124']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.79', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.124']",17,video/mp4,522686536,keep-alive,"Sun, 14 May 2023 20:29:37 GMT","Tue, 28 Feb 2023 10:40:02 GMT","""585c7259c07e8e8600c1a5596e604389-100""",INTELLIGENT_TIERING,AES256,628403752e053e46bc0a3eb8536c5bc39d8c0f5c,6b81c6419cc0ccc127df2fa87e85bbb2,1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 9defe0d67603d45217a1199d0f877384.cloudfront.net (CloudFront),ZRH55-P1,f4vD4DaMgPnvvstGGxOfNox4NJwhxksrAWgyXQM_QorNnRPfDnkg_w==,3513304,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$7WLfuGFXN0BWjILMfnggBpGoa2o~/b305/896d/8181/49f1-b807-0ebdf65646b6/54cb322a-71f8-48bd-9262-ff5606f00645_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '522686536', 'Connection': 'keep-alive', 'Date': 'Sun, 14 May 2023 20:29:37 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 10:40:02 GMT', 'ETag': '""585c7259c07e8e8600c1a5596e604389-100""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '628403752e053e46bc0a3eb8536c5bc39d8c0f5c', 'x-amz-meta-dv-checksum-md5': '6b81c6419cc0ccc127df2fa87e85bbb2', 'x-amz-meta-dv-checksum-sha-256': '1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 9defe0d67603d45217a1199d0f877384.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'f4vD4DaMgPnvvstGGxOfNox4NJwhxksrAWgyXQM_QorNnRPfDnkg_w==', 'Age': '3513304'}"
24-06-2023_14:25:41:090117,18.165.183.22,4.4492779998108745,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']",17,video/mp4,522686536,keep-alive,"Sun, 14 May 2023 20:29:37 GMT","Tue, 28 Feb 2023 10:40:02 GMT","""585c7259c07e8e8600c1a5596e604389-100""",INTELLIGENT_TIERING,AES256,628403752e053e46bc0a3eb8536c5bc39d8c0f5c,6b81c6419cc0ccc127df2fa87e85bbb2,1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 df9ce120cad525bdb160f75cd7b807c2.cloudfront.net (CloudFront),ZRH55-P1,D0KVVCtfpMki7bAYe-CU-_KBucdbDLORAckzZ1RR9msaUW2LoHY_sA==,3513365,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$7WLfuGFXN0BWjILMfnggBpGoa2o~/b305/896d/8181/49f1-b807-0ebdf65646b6/54cb322a-71f8-48bd-9262-ff5606f00645_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '522686536', 'Connection': 'keep-alive', 'Date': 'Sun, 14 May 2023 20:29:37 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 10:40:02 GMT', 'ETag': '""585c7259c07e8e8600c1a5596e604389-100""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '628403752e053e46bc0a3eb8536c5bc39d8c0f5c', 'x-amz-meta-dv-checksum-md5': '6b81c6419cc0ccc127df2fa87e85bbb2', 'x-amz-meta-dv-checksum-sha-256': '1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 df9ce120cad525bdb160f75cd7b807c2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'D0KVVCtfpMki7bAYe-CU-_KBucdbDLORAckzZ1RR9msaUW2LoHY_sA==', 'Age': '3513365'}"
24-06-2023_14:26:40:350491,18.165.183.124,5.029393942095339,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.79', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.124']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.79', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.124']",17,video/mp4,522686536,keep-alive,"Sun, 14 May 2023 20:29:37 GMT","Tue, 28 Feb 2023 10:40:02 GMT","""585c7259c07e8e8600c1a5596e604389-100""",INTELLIGENT_TIERING,AES256,628403752e053e46bc0a3eb8536c5bc39d8c0f5c,6b81c6419cc0ccc127df2fa87e85bbb2,1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 ff571229df9f46b01b0e434bcb36f9e6.cloudfront.net (CloudFront),ZRH55-P1,d938v3E25E8Jl7MObMZlnyUzeXUyZ_KRzvEfGtFdpyZhqkjpEFpTpA==,3513424,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$7WLfuGFXN0BWjILMfnggBpGoa2o~/b305/896d/8181/49f1-b807-0ebdf65646b6/54cb322a-71f8-48bd-9262-ff5606f00645_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '522686536', 'Connection': 'keep-alive', 'Date': 'Sun, 14 May 2023 20:29:37 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 10:40:02 GMT', 'ETag': '""585c7259c07e8e8600c1a5596e604389-100""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '628403752e053e46bc0a3eb8536c5bc39d8c0f5c', 'x-amz-meta-dv-checksum-md5': '6b81c6419cc0ccc127df2fa87e85bbb2', 'x-amz-meta-dv-checksum-sha-256': '1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 ff571229df9f46b01b0e434bcb36f9e6.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'd938v3E25E8Jl7MObMZlnyUzeXUyZ_KRzvEfGtFdpyZhqkjpEFpTpA==', 'Age': '3513424'}"
24-06-2023_14:27:37:806011,18.165.183.22,5.091020953841507,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']",17,video/mp4,522686536,keep-alive,"Sun, 14 May 2023 20:29:37 GMT","Tue, 28 Feb 2023 10:40:02 GMT","""585c7259c07e8e8600c1a5596e604389-100""",INTELLIGENT_TIERING,AES256,628403752e053e46bc0a3eb8536c5bc39d8c0f5c,6b81c6419cc0ccc127df2fa87e85bbb2,1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 ff571229df9f46b01b0e434bcb36f9e6.cloudfront.net (CloudFront),ZRH55-P1,I2A1KdTsr2zn8jaBOU0lj6J6ajk38JMymMmWVZeplxZPd7aXRtjxJA==,3513481,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$7WLfuGFXN0BWjILMfnggBpGoa2o~/b305/896d/8181/49f1-b807-0ebdf65646b6/54cb322a-71f8-48bd-9262-ff5606f00645_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '522686536', 'Connection': 'keep-alive', 'Date': 'Sun, 14 May 2023 20:29:37 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 10:40:02 GMT', 'ETag': '""585c7259c07e8e8600c1a5596e604389-100""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '628403752e053e46bc0a3eb8536c5bc39d8c0f5c', 'x-amz-meta-dv-checksum-md5': '6b81c6419cc0ccc127df2fa87e85bbb2', 'x-amz-meta-dv-checksum-sha-256': '1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 ff571229df9f46b01b0e434bcb36f9e6.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'I2A1KdTsr2zn8jaBOU0lj6J6ajk38JMymMmWVZeplxZPd7aXRtjxJA==', 'Age': '3513481'}"
24-06-2023_14:28:34:882094,18.165.183.124,4.842711030505598,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.79', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.124']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.79', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.124']",17,video/mp4,522686536,keep-alive,"Sun, 14 May 2023 20:29:37 GMT","Tue, 28 Feb 2023 10:40:02 GMT","""585c7259c07e8e8600c1a5596e604389-100""",INTELLIGENT_TIERING,AES256,628403752e053e46bc0a3eb8536c5bc39d8c0f5c,6b81c6419cc0ccc127df2fa87e85bbb2,1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 ca6974974a9175b71fb6a84145111ed2.cloudfront.net (CloudFront),ZRH55-P1,KSHgOpvuFlgoHTRwFmOWpShmgWEHQYVwJQ3LXZyNPFBJ3oqQ1-tOxg==,3513538,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$7WLfuGFXN0BWjILMfnggBpGoa2o~/b305/896d/8181/49f1-b807-0ebdf65646b6/54cb322a-71f8-48bd-9262-ff5606f00645_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '522686536', 'Connection': 'keep-alive', 'Date': 'Sun, 14 May 2023 20:29:37 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 10:40:02 GMT', 'ETag': '""585c7259c07e8e8600c1a5596e604389-100""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '628403752e053e46bc0a3eb8536c5bc39d8c0f5c', 'x-amz-meta-dv-checksum-md5': '6b81c6419cc0ccc127df2fa87e85bbb2', 'x-amz-meta-dv-checksum-sha-256': '1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 ca6974974a9175b71fb6a84145111ed2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'KSHgOpvuFlgoHTRwFmOWpShmgWEHQYVwJQ3LXZyNPFBJ3oqQ1-tOxg==', 'Age': '3513538'}"
24-06-2023_14:29:31:898072,18.165.183.22,4.68646502122283,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']",17,video/mp4,522686536,keep-alive,"Sun, 14 May 2023 20:29:37 GMT","Tue, 28 Feb 2023 10:40:02 GMT","""585c7259c07e8e8600c1a5596e604389-100""",INTELLIGENT_TIERING,AES256,628403752e053e46bc0a3eb8536c5bc39d8c0f5c,6b81c6419cc0ccc127df2fa87e85bbb2,1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 7eb9eadda041aaab1056a6a0f8080462.cloudfront.net (CloudFront),ZRH55-P1,Hym0l9RxHQ9FCs1AVePpxnwgdgN4CWhGV3sv7oeksQPtNnJlbIBGYw==,3513595,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$7WLfuGFXN0BWjILMfnggBpGoa2o~/b305/896d/8181/49f1-b807-0ebdf65646b6/54cb322a-71f8-48bd-9262-ff5606f00645_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '522686536', 'Connection': 'keep-alive', 'Date': 'Sun, 14 May 2023 20:29:37 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 10:40:02 GMT', 'ETag': '""585c7259c07e8e8600c1a5596e604389-100""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '628403752e053e46bc0a3eb8536c5bc39d8c0f5c', 'x-amz-meta-dv-checksum-md5': '6b81c6419cc0ccc127df2fa87e85bbb2', 'x-amz-meta-dv-checksum-sha-256': '1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 7eb9eadda041aaab1056a6a0f8080462.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'Hym0l9RxHQ9FCs1AVePpxnwgdgN4CWhGV3sv7oeksQPtNnJlbIBGYw==', 'Age': '3513595'}"
24-06-2023_14:30:29:008763,18.165.183.115,5.408914061263204,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.225', '52.93.42.97', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.115']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.225', '52.93.42.97', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.115']",17,video/mp4,522686536,keep-alive,"Sun, 14 May 2023 20:29:37 GMT","Tue, 28 Feb 2023 10:40:02 GMT","""585c7259c07e8e8600c1a5596e604389-100""",INTELLIGENT_TIERING,AES256,628403752e053e46bc0a3eb8536c5bc39d8c0f5c,6b81c6419cc0ccc127df2fa87e85bbb2,1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 099d4ba9ace3ae96fa2a16ccfeeac6ec.cloudfront.net (CloudFront),ZRH55-P1,gf8TSk8qYsixiAvvAAw5K0qSslRfDJ7LOz341ixyLayIYj_DlIPeQg==,3513653,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$7WLfuGFXN0BWjILMfnggBpGoa2o~/b305/896d/8181/49f1-b807-0ebdf65646b6/54cb322a-71f8-48bd-9262-ff5606f00645_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '522686536', 'Connection': 'keep-alive', 'Date': 'Sun, 14 May 2023 20:29:37 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 10:40:02 GMT', 'ETag': '""585c7259c07e8e8600c1a5596e604389-100""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '628403752e053e46bc0a3eb8536c5bc39d8c0f5c', 'x-amz-meta-dv-checksum-md5': '6b81c6419cc0ccc127df2fa87e85bbb2', 'x-amz-meta-dv-checksum-sha-256': '1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 099d4ba9ace3ae96fa2a16ccfeeac6ec.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'gf8TSk8qYsixiAvvAAw5K0qSslRfDJ7LOz341ixyLayIYj_DlIPeQg==', 'Age': '3513653'}"
24-06-2023_14:31:26:097101,18.165.183.22,5.310075939632952,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']",17,video/mp4,522686536,keep-alive,"Sun, 14 May 2023 20:29:37 GMT","Tue, 28 Feb 2023 10:40:02 GMT","""585c7259c07e8e8600c1a5596e604389-100""",INTELLIGENT_TIERING,AES256,628403752e053e46bc0a3eb8536c5bc39d8c0f5c,6b81c6419cc0ccc127df2fa87e85bbb2,1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 fec5e83bcae9ab1295b776b3f64183d0.cloudfront.net (CloudFront),ZRH55-P1,_Ml5lnb08MYzu53Y4U8zy-tuuYZ-NXno2FX_MovOGJH49DC89wHAIA==,3513710,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$7WLfuGFXN0BWjILMfnggBpGoa2o~/b305/896d/8181/49f1-b807-0ebdf65646b6/54cb322a-71f8-48bd-9262-ff5606f00645_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '522686536', 'Connection': 'keep-alive', 'Date': 'Sun, 14 May 2023 20:29:37 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 10:40:02 GMT', 'ETag': '""585c7259c07e8e8600c1a5596e604389-100""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '628403752e053e46bc0a3eb8536c5bc39d8c0f5c', 'x-amz-meta-dv-checksum-md5': '6b81c6419cc0ccc127df2fa87e85bbb2', 'x-amz-meta-dv-checksum-sha-256': '1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 fec5e83bcae9ab1295b776b3f64183d0.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': '_Ml5lnb08MYzu53Y4U8zy-tuuYZ-NXno2FX_MovOGJH49DC89wHAIA==', 'Age': '3513710'}"
24-06-2023_14:32:23:083342,18.165.183.22,4.627999034710228,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']",17,video/mp4,522686536,keep-alive,"Sun, 14 May 2023 20:29:37 GMT","Tue, 28 Feb 2023 10:40:02 GMT","""585c7259c07e8e8600c1a5596e604389-100""",INTELLIGENT_TIERING,AES256,628403752e053e46bc0a3eb8536c5bc39d8c0f5c,6b81c6419cc0ccc127df2fa87e85bbb2,1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 49039a44484a184312d8f608c205b640.cloudfront.net (CloudFront),ZRH55-P1,FXTbFoPNsEc5C4NNI18Cr8CdnPehMHgN7ESXO6vO-rFj2dLSopARww==,3513767,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$7WLfuGFXN0BWjILMfnggBpGoa2o~/b305/896d/8181/49f1-b807-0ebdf65646b6/54cb322a-71f8-48bd-9262-ff5606f00645_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '522686536', 'Connection': 'keep-alive', 'Date': 'Sun, 14 May 2023 20:29:37 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 10:40:02 GMT', 'ETag': '""585c7259c07e8e8600c1a5596e604389-100""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '628403752e053e46bc0a3eb8536c5bc39d8c0f5c', 'x-amz-meta-dv-checksum-md5': '6b81c6419cc0ccc127df2fa87e85bbb2', 'x-amz-meta-dv-checksum-sha-256': '1990e4055ca9bc7a3a287e3ab30ec4179d85dab2cc1f516a694b48dc2370e439', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 49039a44484a184312d8f608c205b640.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'FXTbFoPNsEc5C4NNI18Cr8CdnPehMHgN7ESXO6vO-rFj2dLSopARww==', 'Age': '3513767'}"
